year,source,exam,question_number,question,option_a,option_b,option_c,option_d,correct_option,subject,explanation,takeaway,source_pdf,source_pages,evidence_excerpt,quality_score,topic,sub_topic
"2025","subject","PT365 Current Affairs 2025","1","Consider a scenario where the Reserve Bank of India aims to curb speculative lending in a specific economic sector without altering the overall liquidity and credit availability in the system. Which of the following monetary policy instruments would be the most appropriate for achieving this specific objective?","Increasing the Repo Rate","Raising the Cash Reserve Ratio (CRR)","Adjusting the Margin Requirements on loans for that sector","Increasing the Reverse Repo Rate","C","Economy","The objective is to selectively influence the direction of credit without affecting the overall volume of money supply. Increasing the Repo Rate (A), CRR (B), or Reverse Repo Rate (D) are quantitative tools that would reduce the overall money supply or make credit more expensive across the board. Adjusting Margin Requirements is a qualitative tool designed specifically to curb speculation in targeted sectors by changing the loan-to-value ratio, making it the most appropriate instrument.","Understand the fundamental difference between quantitative tools (affecting overall credit volume) and qualitative tools (affecting credit direction) and be able to apply the correct tool to a given policy scenario.","Economy PT 365 2026.pdf","5","QUALITATIVE TOOLS (Direction of Credit) Selectively influence credit flow to specific sectors. MARGIN REQUIREMENTS Changing the loan-to-value (LTV) ratio. Higher margin = less loan amount for collateral. Used to curb speculation.","90","Banking and Monetary Policy","RBI Monetary Policy and Economic Capital Framework"
"2025","subject","PT365 Current Affairs 2025","2","With reference to the Cash Reserve Ratio (CRR) and the Statutory Liquidity Ratio (SLR), consider the following statements:
1. Both CRR and SLR are stipulated as a percentage of a bank's Net Demand and Time Liabilities (NDTL).
2. While CRR must be maintained in the form of cash with the RBI, SLR is maintained by the banks themselves in specified liquid assets.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","C","Economy","Statement 1 is correct. The source text defines both CRR and SLR as a '% of net demand & time liabilities (NDTL)'. Statement 2 is also correct. The text specifies that CRR is maintained as 'CASH with RBI', whereas SLR requires banks to maintain liquid assets 'by themselves'.","Clearly distinguish between CRR and SLR based on their calculation base (NDTL for both), the form of assets, and where the assets are held (with RBI vs. with the bank itself).","Economy PT 365 2026.pdf","5","CRR (Cash Reserve Ratio) % of net demand & time liabilities (NDTL) banks must keep as CASH with RBI. SLR (Statutory Liquidity Ratio) % of NDTL banks must maintain in LIQUID ASSETS (Gold, Bonds, Cash) by themselves.","88","Banking and Monetary Policy","RBI Monetary Policy and Economic Capital Framework"
"2025","subject","PT365 Current Affairs 2025","3","With reference to the Reserve Bank of India's Economic Capital Framework (ECF), consider the following statements:
1. The adoption of the ECF was based on the recommendations of the committee chaired by Dr. Bimal Jalan.
2. The framework provides a methodology for determining the appropriate level of risk provisions and the distribution of surplus profits by the RBI.
3. The Contingency Fund (CF) is classified as a component of 'Realized Equity' under this framework.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","D","Economy","Statement 1 is correct. The source explicitly states that the ECF was adopted based on the recommendations of the Bimal Jalan Committee. Statement 2 is correct, as the ECF's purpose is to provide a methodology for determining risk provisions and profit distribution under Section 47 of the RBI Act, 1934. Statement 3 is also correct, as the text lists the Contingency Fund (CF) as a component of Realized Equity.","For important frameworks like the ECF, remember the recommending committee (Bimal Jalan), its core purpose (risk provisions and surplus distribution), and its key components (like Realized Equity and its constituents).","Economy PT 365 2026.pdf","5","Genesis: ECF was adopted by RBI in 2019, based on the recommendations of the Bimal Jalan Committee. Concept: ECF provides a methodology for determining the appropriate level of risk provisions and profit distribution... Components of Economic Capital under ECF: Realized Equity: This consists of RBI’s Capital, Reserve Fund, Contingency Fund (CF), and Asset Development Fund (ADF).","85","Banking and Monetary Policy","RBI Monetary Policy and Economic Capital Framework"
"2025","subject","PT365 Current Affairs 2025","4","Which one of the following statements best distinguishes between the different components of India's Foreign Exchange Reserves in terms of their primary function or characteristic?","Foreign Currency Assets (FCA) are held primarily for liquidity and intervention, whereas Gold Reserves serve as a long-term hedge against systemic risks and inflation.","The Reserve Tranche Position (RTP) can be drawn upon only with strict conditionality, unlike Special Drawing Rights (SDR) which are unconditional.","Gold Reserves offer a consistent interest yield, while Foreign Currency Assets are non-interest bearing but highly liquid.","Special Drawing Rights (SDR) are physical assets held in RBI vaults, whereas the Reserve Tranche Position (RTP) is a book-entry claim.","A","Economy","Option A is the most accurate distinction. FCA are held in major convertible currencies, implying their use for managing day-to-day liquidity and intervening in currency markets. The text explicitly states that gold is accumulated as a 'Hedge against Inflation' and for 'Risk Mitigation' against volatility, indicating its role as a strategic, long-term asset. Option B is incorrect; the text states RTP is 'readily available for withdrawal without strict conditions'. Option C is incorrect; the text clearly states gold yields 'no interest or dividends'. Option D is incorrect as neither SDR nor RTP are physical assets.","Each component of the foreign exchange reserves serves a distinct purpose, from providing immediate liquidity (FCA) to acting as a long-term store of value and hedge against uncertainty (Gold), and facilitating interactions with the IMF (SDR, RTP).","Economy PT 365 2026.pdf","6","Foreign Currency Assets (FCA): These are maintained in currencies like the US dollar, euro... Why is RBI increasing gold reserves? ... Risk Mitigation: Help protect against currency volatility... Hedge against Inflation... Risk Associated with Storing Gold... Zero Yield: Gold yields no interest or dividends... Reserve Tranche Position (RTP): ...readily available for withdrawal without strict conditions.","90","Banking and Monetary Policy","Forex Reserves and Ombudsman Scheme"
"2025","subject","PT365 Current Affairs 2025","5","In the context of managing India's foreign exchange reserves, which of the following statements best captures an inherent trade-off associated with increasing the proportion of gold holdings?","Gold serves as a hedge against inflation and currency volatility but offers lower liquidity compared to foreign currency assets.","Gold diversifies the reserve base away from the US dollar but is subject to higher revaluation risks than sovereign bonds.","Gold yields no interest, yet its storage and security costs are typically lower than the transaction costs of managing foreign currency assets.","Gold offers potential for high capital appreciation but is not considered a part of a country's official reserve assets by the IMF.","A","Economy","Option A correctly identifies the trade-off. The source text states that the RBI increases gold reserves to 'Hedge against Inflation' and for 'Risk Mitigation' against 'currency volatility'. However, it also lists 'Reduced Liquidity and Flexibility' as a risk, noting that converting gold to cash is 'slower and costlier than liquidating foreign currency assets'. This highlights the trade-off between safety/hedging and liquidity. Option B is incorrect because gold helps mitigate, not increase, revaluation risks. Option C is incorrect as the text highlights storage and security costs as a disadvantage, not an advantage. Option D is incorrect as gold is a key component of official foreign exchange reserves.","Management of foreign exchange reserves involves balancing competing objectives. While gold provides a strategic hedge against inflation and currency risks, this benefit comes at the cost of lower liquidity and a lack of interest income compared to foreign currency assets like government bonds.","Economy PT 365 2026.pdf","6","Why is RBI increasing gold reserves? ... Hedge against Inflation: Gold is accumulated as a hedge against inflation... Risk Mitigation: Help protect against currency volatility... Risk Associated with Storing Gold: Reduced Liquidity and Flexibility: Converting large gold holdings to cash is slower and costlier than liquidating foreign currency assets. Zero Yield: Gold yields no interest or dividends...","85","Banking and Monetary Policy","Forex Reserves and Ombudsman Scheme"
"2025","subject","PT365 Current Affairs 2025","6","Which of the following statements best explains the 'One Nation One Ombudsman' approach, a key feature of the RBI's Integrated Ombudsman Scheme?","It has led to the centralization of the grievance redressal mechanism in a single office located at the RBI's headquarters.","It allows a complainant to file a grievance with any office of the RBI Ombudsman, regardless of the geographical jurisdiction of the financial entity.","It integrates the ombudsman schemes of all financial sector regulators, such as SEBI and IRDAI, under the RBI's purview.","It establishes a single, uniform compensation limit for all financial grievances, including those related to insurance and securities markets.","B","Economy","The 'One Nation One Ombudsman' approach makes the RBI's ombudsman mechanism 'jurisdiction neutral'. This means a complainant is no longer restricted by the geographical location of the financial entity's office and can file their complaint at any RBI Ombudsman office. Option A is incorrect as it doesn't eliminate regional offices. Option C is incorrect as the scheme integrated three of RBI's own previous schemes, not those of other regulators like SEBI or IRDAI. Option D is incorrect as the compensation limit applies only to the RBI's integrated scheme, not all financial grievances in India.","The 'One Nation One Ombudsman' approach simplifies grievance redressal for customers of RBI-regulated entities by removing jurisdictional barriers, allowing them to file complaints anywhere in the country.","Economy PT 365 2026.pdf","7","It adopted the ‘One Nation One Ombudsman’ approach by making the RBI Ombudsman mechanism jurisdiction neutral.","90","Banking and Monetary Policy","RBI Initiatives and Key Terms"
"2025","subject","PT365 Current Affairs 2025","7","With reference to the 'Switch Auctions' conducted by the RBI on behalf of the Government of India, consider the following statements:
1. The primary objective of these auctions is to manage the maturity profile of public debt by replacing shorter-tenure securities with longer-tenure ones.
2. The mechanism involves market participants selling 'destination securities' to the government while simultaneously purchasing 'source securities'.
3. These transactions are executed on the RBI's e-Kuber portal.
Which of the statements given above is/are correct?","1 and 3 only","2 and 3 only","1 only","1, 2 and 3","A","Economy","Statement 1 is correct. The stated objective is to manage the public debt's maturity profile by switching from short-term to long-term securities. Statement 2 is incorrect. The mechanism is the reverse of what is stated; participants sell 'source securities' to the government and buy 'destination securities'. Statement 3 is correct. The source text confirms that the process is executed through the e-Kuber portal.","Switch Auctions are a debt management tool used by the government (via RBI's e-Kuber platform) to lengthen the maturity profile of its debt by selling short-term securities ('source') and buying long-term ones ('destination').","Economy PT 365 2026.pdf","7","Objective: To manage the maturity profile of public debt by replacing short-term securities with longer-dated ones. Mechanism: Market participants sell source securities to the Government of India and simultaneously buy destination securities at quoted prices. The process is executed through the e-Kuber portal via the Switch Transaction module.","88","Banking and Monetary Policy","RBI Initiatives and Key Terms"
"2025","subject","PT365 Current Affairs 2025","8","With reference to the Standing Deposit Facility (SDF) of the Reserve Bank of India, consider the following statements:
1. It is a monetary policy instrument that allows the RBI to absorb liquidity from commercial banks without providing government securities as collateral.
2. It has replaced the Fixed Rate Reverse Repo as the floor of the Liquidity Adjustment Facility (LAF) corridor.
3. Under this facility, liquidity is absorbed strictly on an overnight basis, with no provision for the RBI to increase its duration.
Which of the statements given above is/are correct?","1 and 3 only","2 only","1 and 2 only","1, 2 and 3","C","Economy","Statement 1 is correct. The SDF is a tool for absorbing liquidity from commercial banks without the need for collateral. Statement 2 is correct. The SDF serves as the new floor for the LAF corridor, replacing the earlier Fixed Rate Reverse Repo. Statement 3 is incorrect. While the SDF is primarily an overnight facility, the source text explicitly mentions that the RBI has the 'flexibility... to increase its duration'.","The Standing Deposit Facility (SDF) is a collateral-free liquidity absorption tool that acts as the floor of the LAF corridor, offering the RBI flexibility in managing the duration of absorption.","Economy PT 365 2026.pdf","7","It is a monetary tool that absorbs liquidity from commercial banks without collateral. SDF replaced the Fixed Rate Reverse Repo as the Liquidity Adjustment Facility corridor’s floor. SDF is an overnight liquidity absorption mechanism with the flexibility for the RBI to increase its duration.","85","Banking and Monetary Policy","RBI Initiatives and Key Terms"
"2025","subject","PT365 Current Affairs 2025","9","With reference to Certificate of Deposits (CDs) in India, consider the following statements:
1. Tokenisation refers to the creation of a digital representation of a real-world asset, such as a CD, on a distributed ledger.
2. Both Regional Rural Banks and Local Area Banks are permitted by the RBI to issue Certificates of Deposit.
3. A CD is a negotiable money market instrument issued at a discount to its face value with a maturity period of up to one year.
How many of the statements given above are correct?","Only one","Only two","All three","None","B","Economy","Statement 1 is correct. The text defines tokenization as the process of creating a digital representation of a real-world asset on a distributed ledger. Statement 2 is incorrect. The text explicitly states that Scheduled commercial banks *excluding* Regional Rural Banks and Local Area Banks are eligible to issue CDs. Statement 3 is correct. The text mentions that a CD is a negotiable money market instrument, issued at a discount on face value, and its maturity period is up to one year. Therefore, only two statements are correct.","Understand the key features of Certificate of Deposits (CDs), including which institutions are eligible to issue them, their issuance method, and maturity. Also, be familiar with modern concepts like tokenisation of financial assets.","Economy PT 365 2026.pdf","8","Tokenization is the process of creating a digital representation, called a ""token"", of a real-world asset like stocks on a distributed ledger or blockchain. ... CD is a negotiable money market instrument ... Issued by: Scheduled commercial banks (excluding Regional Rural Banks and Local Area Banks) ... Issued by at a discount on face value. Its maturity period is up to one year (min- 7 days).","90","Banking and Monetary Policy","Payment Systems, RBI Advances, and Digital Initiatives"
"2025","subject","PT365 Current Affairs 2025","10","With reference to the framework for Self-Regulatory Organisations (SROs) for Regulated Entities in India, consider the following statements:
1. The primary objective of establishing an SRO is to replace the direct regulatory oversight of the RBI for the sector it represents.
2. As per the RBI's framework, an SRO must be set up as a for-profit company to ensure its operational independence.
3. The Finance Industry Development Council (FIDC), a representative body of NBFCs, has been recognised as an SRO for the NBFC sector.
How many of the statements given above are correct?","Only one","Only two","All three","None","A","Economy","Statement 1 is incorrect. SROs are meant to supplement and improve the quality of regulation, not replace the primary regulator like the RBI. Statement 2 is incorrect. The framework explicitly requires an SRO to be a not-for-profit company registered under Section 8 of the Companies Act, 2013. Statement 3 is correct. The text mentions that the RBI granted SRO status to FIDC to oversee NBFCs and that FIDC is a representative body of NBFCs. Therefore, only one statement is correct.","SROs function as a first level of oversight to complement, not replace, the primary regulator (RBI). They have a specific legal structure, being not-for-profit entities, to ensure their objectives are aligned with regulatory goals rather than profit motives.","Economy PT 365 2026.pdf","8","RBI granted Self-Regulatory Organisation status to Finance Industry Development Council (FIDC) to oversee NBFCs. FIDC is a representative body of non-banking financial companies (NBFC) registered with the RBI. ... An SRO shall be setup as a not-for-profit company registered under Section 8 of the Companies Act, 2013.","90","Banking and Monetary Policy","Payment Systems, RBI Advances, and Digital Initiatives"
